comuna;region;id_ubicacion
West Susan;West Virginia;974
West Sylviahaven;Wyoming;161
West Todd;Wisconsin;801
West Tyler;New Mexico;60
Whitefurt;Pennsylvania;730
Wilcoxside;Hawaii;215
Williamland;Montana;380
Williamshire;Alaska;772
Williamsshire;Kansas;76
Williamsshire;New Jersey;949
Williamstown;Alaska;388
Williamstown;Arkansas;766
Williamsview;Utah;614
Williamview;Maryland;379
Wilsonborough;Connecticut;156
Wilsonburgh;Colorado;764
Wilsonmouth;Mississippi;590
Wilsonstad;Mississippi;128
Wolfview;Alaska;771
Woodfurt;Alaska;313
Wrightfort;West Virginia;948
Wrightview;Utah;993
Youngberg;North Dakota;423
